scenario,run #,electricity cost ($/kWh),electricity emission factor (kg CO2/kWh),hydrogen purchase cost ($/kg),formic acid production pathway,PSA electricity cost ($/kg H2),PSA electricity cost ($/yr),PSA labor cost ($/kg H2),PSA labor cost ($/yr),PSA levelized capital cost ($/kg H2),PSA levelized capital cost ($/yr),"PSA operation, maintenance, repair costs ($/kg H2)","PSA operation, maintenance, repair costs ($/yr)",PSA other O&M costs ($/kg H2),PSA other O&M costs ($/yr),PSA refrigerator electricity cost ($/kg H2),PSA refrigerator electricity cost ($/yr),PSA refrigerator labor cost ($/kg H2),PSA refrigerator labor cost ($/yr),PSA refrigerator levelized capital cost ($/kg H2),PSA refrigerator levelized capital cost ($/yr),"PSA refrigerator operation, maintenance, repair costs ($/kg H2)","PSA refrigerator operation, maintenance, repair costs ($/yr)",PSA refrigerator other O&M costs ($/kg H2),PSA refrigerator other O&M costs ($/yr),all dehydr. catalyst amount (kg),all dehydr. reactor volume (m^3),cascade storage labor cost ($/kg H2),cascade storage labor cost ($/yr),cascade storage levelized capital cost ($/kg H2),cascade storage levelized capital cost ($/yr),"cascade storage operation, maintenance, repair costs ($/kg H2)","cascade storage operation, maintenance, repair costs ($/yr)",cascade storage other O&M costs ($/kg H2),cascade storage other O&M costs ($/yr),catalyst labor cost ($/kg H2),catalyst labor cost ($/yr),catalyst levelized capital cost ($/kg H2),catalyst levelized capital cost ($/yr),catalyst other O&M costs ($/kg H2),catalyst other O&M costs ($/yr),catalyst purchase cost ($/station),compressor electricity cost ($/kg H2),compressor electricity cost ($/yr),compressor labor cost ($/kg H2),compressor labor cost ($/yr),compressor levelized capital cost ($/kg H2),compressor levelized capital cost ($/yr),"compressor operation, maintenance, repair costs ($/kg H2)","compressor operation, maintenance, repair costs ($/yr)",compressor other O&M costs ($/kg H2),compressor other O&M costs ($/yr),liquid storage labor cost ($/kg H2),liquid storage labor cost ($/yr),liquid storage levelized capital cost ($/kg H2),liquid storage levelized capital cost ($/yr),"liquid storage operation, maintenance, repair costs ($/kg H2)","liquid storage operation, maintenance, repair costs ($/yr)",liquid storage other O&M costs ($/kg H2),liquid storage other O&M costs ($/yr),reactor installed cost ($/station),reactor labor cost ($/kg H2),reactor labor cost ($/yr),reactor levelized capital cost ($/kg H2),reactor levelized capital cost ($/yr),"reactor operation, maintenance, repair costs ($/kg H2)","reactor operation, maintenance, repair costs ($/yr)",reactor other O&M costs ($/kg H2),reactor other O&M costs ($/yr),reactor pump electricity cost ($/kg H2),reactor pump electricity cost ($/yr),reactor pump labor cost ($/kg H2),reactor pump labor cost ($/yr),reactor pump levelized capital cost ($/kg H2),reactor pump levelized capital cost ($/yr),"reactor pump operation, maintenance, repair costs ($/kg H2)","reactor pump operation, maintenance, repair costs ($/yr)",reactor pump other O&M costs ($/kg H2),reactor pump other O&M costs ($/yr),refrigerator electricity cost ($/kg H2),refrigerator electricity cost ($/yr),refrigerator labor cost ($/kg H2),refrigerator labor cost ($/yr),refrigerator levelized capital cost ($/kg H2),refrigerator levelized capital cost ($/yr),"refrigerator operation, maintenance, repair costs ($/kg H2)","refrigerator operation, maintenance, repair costs ($/yr)",refrigerator other O&M costs ($/kg H2),refrigerator other O&M costs ($/yr)
baseline,0,0.1709,0.228,0.31,electro,1.0195904046287483,3721504.9768949314,0.06300135577304773,229954.9485716242,1.238423773633985,4520246.773764045,0.07448076004281232,271854.77415626496,0.1923838031905842,702200.8816456323,0.001384026556428445,5051.696930963824,0.003398486732709998,12404.476574391492,0.07115215308095452,259705.35874548397,0.008035442150149452,29329.3638480455,0.010377773536918017,37878.87340975076,9.64671203342243,0.0731028611028611,0.01950051910664352,71176.89473924885,0.3294123932501356,1202355.235362995,0.023053686170251306,84145.95452141727,0.059547671377759126,217349.0005288208,0.0007824566574576873,2855.966799720559,0.1318924985834886,481407.61982973333,0.0023893452092645343,8721.110013815549,33763.49211697851,0.425335946504673,1552476.2047420563,0.06280973506526875,229255.53298823096,1.627792332165766,5941442.012405045,0.29701689738875214,1084111.6754689454,0.19179866148878674,700065.1144340716,0.0010895874129065529,3976.994057108918,0.018405848345775144,67181.34646207928,0.001288119876954765,4701.637550884892,0.0033272136421741583,12144.329793935678,60910.39709468507,0.0014115763129596791,5152.2535423028285,0.02774749277722259,101278.34863686246,0.0016687780025941114,6091.039709468507,0.004310453580700591,15733.155569557155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05984979703474284,218451.75917681135,0.00419670825197521,15317.985119709516,0.0878640558183182,320703.80373686145,0.009922771230862196,36218.11499264702,0.012815259044658524,46775.695513003615
delivery only,1,0.1709,0.0,0.0,purchase,1.0195904046287483,3721504.9768949314,0.06300135577304773,229954.9485716242,1.238423773633985,4520246.773764045,0.07448076004281232,271854.77415626496,0.1923838031905842,702200.8816456323,0.001384026556428445,5051.696930963824,0.003398486732709998,12404.476574391492,0.07115215308095452,259705.35874548397,0.008035442150149452,29329.3638480455,0.010377773536918017,37878.87340975076,9.64671203342243,0.0731028611028611,0.01950051910664352,71176.89473924885,0.3294123932501356,1202355.235362995,0.023053686170251306,84145.95452141727,0.059547671377759126,217349.0005288208,0.0007824566574576873,2855.966799720559,0.1318924985834886,481407.61982973333,0.0023893452092645343,8721.110013815549,33763.49211697851,0.425335946504673,1552476.2047420563,0.06280973506526875,229255.53298823096,1.627792332165766,5941442.012405045,0.29701689738875214,1084111.6754689454,0.19179866148878674,700065.1144340716,0.0010895874129065529,3976.994057108918,0.018405848345775144,67181.34646207928,0.001288119876954765,4701.637550884892,0.0033272136421741583,12144.329793935678,60910.39709468507,0.0014115763129596791,5152.2535423028285,0.02774749277722259,101278.34863686246,0.0016687780025941114,6091.039709468507,0.004310453580700591,15733.155569557155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05984979703474284,218451.75917681135,0.00419670825197521,15317.985119709516,0.0878640558183182,320703.80373686145,0.009922771230862196,36218.11499264702,0.012815259044658524,46775.695513003615
closed loop,2,0.1709,0.0,0.31,electro,1.0195904046287483,3721504.9768949314,0.06300135577304773,229954.9485716242,1.238423773633985,4520246.773764045,0.07448076004281232,271854.77415626496,0.1923838031905842,702200.8816456323,0.001384026556428445,5051.696930963824,0.003398486732709998,12404.476574391492,0.07115215308095452,259705.35874548397,0.008035442150149452,29329.3638480455,0.010377773536918017,37878.87340975076,9.64671203342243,0.0731028611028611,0.01950051910664352,71176.89473924885,0.3294123932501356,1202355.235362995,0.023053686170251306,84145.95452141727,0.059547671377759126,217349.0005288208,0.0007824566574576873,2855.966799720559,0.1318924985834886,481407.61982973333,0.0023893452092645343,8721.110013815549,33763.49211697851,0.425335946504673,1552476.2047420563,0.06280973506526875,229255.53298823096,1.627792332165766,5941442.012405045,0.29701689738875214,1084111.6754689454,0.19179866148878674,700065.1144340716,0.0010895874129065529,3976.994057108918,0.018405848345775144,67181.34646207928,0.001288119876954765,4701.637550884892,0.0033272136421741583,12144.329793935678,60910.39709468507,0.0014115763129596791,5152.2535423028285,0.02774749277722259,101278.34863686246,0.0016687780025941114,6091.039709468507,0.004310453580700591,15733.155569557155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05984979703474284,218451.75917681135,0.00419670825197521,15317.985119709516,0.0878640558183182,320703.80373686145,0.009922771230862196,36218.11499264702,0.012815259044658524,46775.695513003615
cloosed loop - 0.02 $/kWh,3,0.02,0.0,0.31,electro,0.11932011756919232,435518.42912755196,0.06300135577304773,229954.9485716242,1.238423773633985,4520246.773764045,0.07448076004281232,271854.77415626496,0.1923838031905842,702200.8816456323,0.00016196916985704448,591.1874699782123,0.003398486732709998,12404.476574391492,0.07115215308095452,259705.35874548397,0.008035442150149452,29329.3638480455,0.010377773536918017,37878.87340975076,9.64671203342243,0.0731028611028611,0.01950051910664352,71176.89473924885,0.3294123932501356,1202355.235362995,0.023053686170251306,84145.95452141727,0.059547671377759126,217349.0005288208,0.0007824566574576873,2855.966799720559,0.1318924985834886,481407.61982973333,0.0023893452092645343,8721.110013815549,33763.49211697851,0.049776003101775664,181682.41132148117,0.06280973506526875,229255.53298823096,1.627792332165766,5941442.012405045,0.29701689738875214,1084111.6754689454,0.19179866148878674,700065.1144340716,0.0010895874129065529,3976.994057108918,0.018405848345775144,67181.34646207928,0.001288119876954765,4701.637550884892,0.0033272136421741583,12144.329793935678,60910.39709468507,0.0014115763129596791,5152.2535423028285,0.02774749277722259,101278.34863686246,0.0016687780025941114,6091.039709468507,0.004310453580700591,15733.155569557155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00700407221003427,25564.86356662509,0.00419670825197521,15317.985119709516,0.0878640558183182,320703.80373686145,0.009922771230862196,36218.11499264702,0.012815259044658524,46775.695513003615
cloosed loop - 0.04 $/kWh,4,0.04,0.0,0.31,electro,0.23864023513838464,871036.8582551039,0.06300135577304773,229954.9485716242,1.238423773633985,4520246.773764045,0.07448076004281232,271854.77415626496,0.1923838031905842,702200.8816456323,0.00032393833971408896,1182.3749399564247,0.003398486732709998,12404.476574391492,0.07115215308095452,259705.35874548397,0.008035442150149452,29329.3638480455,0.010377773536918017,37878.87340975076,9.64671203342243,0.0731028611028611,0.01950051910664352,71176.89473924885,0.3294123932501356,1202355.235362995,0.023053686170251306,84145.95452141727,0.059547671377759126,217349.0005288208,0.0007824566574576873,2855.966799720559,0.1318924985834886,481407.61982973333,0.0023893452092645343,8721.110013815549,33763.49211697851,0.09955200620355133,363364.82264296233,0.06280973506526875,229255.53298823096,1.627792332165766,5941442.012405045,0.29701689738875214,1084111.6754689454,0.19179866148878674,700065.1144340716,0.0010895874129065529,3976.994057108918,0.018405848345775144,67181.34646207928,0.001288119876954765,4701.637550884892,0.0033272136421741583,12144.329793935678,60910.39709468507,0.0014115763129596791,5152.2535423028285,0.02774749277722259,101278.34863686246,0.0016687780025941114,6091.039709468507,0.004310453580700591,15733.155569557155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01400814442006854,51129.72713325018,0.00419670825197521,15317.985119709516,0.0878640558183182,320703.80373686145,0.009922771230862196,36218.11499264702,0.012815259044658524,46775.695513003615
cloosed loop - 0.06 $/kWh,5,0.06,0.0,0.31,electro,0.357960352707577,1306555.287382656,0.06300135577304773,229954.9485716242,1.238423773633985,4520246.773764045,0.07448076004281232,271854.77415626496,0.1923838031905842,702200.8816456323,0.0004859075095711334,1773.562409934637,0.003398486732709998,12404.476574391492,0.07115215308095452,259705.35874548397,0.008035442150149452,29329.3638480455,0.010377773536918017,37878.87340975076,9.64671203342243,0.0731028611028611,0.01950051910664352,71176.89473924885,0.3294123932501356,1202355.235362995,0.023053686170251306,84145.95452141727,0.059547671377759126,217349.0005288208,0.0007824566574576873,2855.966799720559,0.1318924985834886,481407.61982973333,0.0023893452092645343,8721.110013815549,33763.49211697851,0.14932800930532697,545047.2339644434,0.06280973506526875,229255.53298823096,1.627792332165766,5941442.012405045,0.29701689738875214,1084111.6754689454,0.19179866148878674,700065.1144340716,0.0010895874129065529,3976.994057108918,0.018405848345775144,67181.34646207928,0.001288119876954765,4701.637550884892,0.0033272136421741583,12144.329793935678,60910.39709468507,0.0014115763129596791,5152.2535423028285,0.02774749277722259,101278.34863686246,0.0016687780025941114,6091.039709468507,0.004310453580700591,15733.155569557155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02101221663010281,76694.59069987526,0.00419670825197521,15317.985119709516,0.0878640558183182,320703.80373686145,0.009922771230862196,36218.11499264702,0.012815259044658524,46775.695513003615
cloosed loop - 0.08 $/kWh,6,0.08,0.0,0.31,electro,0.4772804702767693,1742073.7165102079,0.06300135577304773,229954.9485716242,1.238423773633985,4520246.773764045,0.07448076004281232,271854.77415626496,0.1923838031905842,702200.8816456323,0.0006478766794281779,2364.7498799128493,0.003398486732709998,12404.476574391492,0.07115215308095452,259705.35874548397,0.008035442150149452,29329.3638480455,0.010377773536918017,37878.87340975076,9.64671203342243,0.0731028611028611,0.01950051910664352,71176.89473924885,0.3294123932501356,1202355.235362995,0.023053686170251306,84145.95452141727,0.059547671377759126,217349.0005288208,0.0007824566574576873,2855.966799720559,0.1318924985834886,481407.61982973333,0.0023893452092645343,8721.110013815549,33763.49211697851,0.19910401240710265,726729.6452859247,0.06280973506526875,229255.53298823096,1.627792332165766,5941442.012405045,0.29701689738875214,1084111.6754689454,0.19179866148878674,700065.1144340716,0.0010895874129065529,3976.994057108918,0.018405848345775144,67181.34646207928,0.001288119876954765,4701.637550884892,0.0033272136421741583,12144.329793935678,60910.39709468507,0.0014115763129596791,5152.2535423028285,0.02774749277722259,101278.34863686246,0.0016687780025941114,6091.039709468507,0.004310453580700591,15733.155569557155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02801628884013708,102259.45426650035,0.00419670825197521,15317.985119709516,0.0878640558183182,320703.80373686145,0.009922771230862196,36218.11499264702,0.012815259044658524,46775.695513003615
