scenario,run #,dehydr. reaction temperature (K),dehydr. reaction pressure (bar),dehydr. reactor volume (m^3),dehydr. catalyst amount (kg),PSA electricity cost ($/kg H2),PSA electricity cost ($/yr),PSA labor cost ($/kg H2),PSA labor cost ($/yr),PSA levelized capital cost ($/kg H2),PSA levelized capital cost ($/yr),"PSA operation, maintenance, repair costs ($/kg H2)","PSA operation, maintenance, repair costs ($/yr)",PSA other O&M costs ($/kg H2),PSA other O&M costs ($/yr),PSA refrigerator electricity cost ($/kg H2),PSA refrigerator electricity cost ($/yr),PSA refrigerator labor cost ($/kg H2),PSA refrigerator labor cost ($/yr),PSA refrigerator levelized capital cost ($/kg H2),PSA refrigerator levelized capital cost ($/yr),"PSA refrigerator operation, maintenance, repair costs ($/kg H2)","PSA refrigerator operation, maintenance, repair costs ($/yr)",PSA refrigerator other O&M costs ($/kg H2),PSA refrigerator other O&M costs ($/yr),all dehydr. catalyst amount (kg),all dehydr. reactor volume (m^3),cascade storage labor cost ($/kg H2),cascade storage labor cost ($/yr),cascade storage levelized capital cost ($/kg H2),cascade storage levelized capital cost ($/yr),"cascade storage operation, maintenance, repair costs ($/kg H2)","cascade storage operation, maintenance, repair costs ($/yr)",cascade storage other O&M costs ($/kg H2),cascade storage other O&M costs ($/yr),catalyst labor cost ($/kg H2),catalyst labor cost ($/yr),catalyst levelized capital cost ($/kg H2),catalyst levelized capital cost ($/yr),catalyst other O&M costs ($/kg H2),catalyst other O&M costs ($/yr),catalyst purchase cost ($/station),compressor electricity cost ($/kg H2),compressor electricity cost ($/yr),compressor labor cost ($/kg H2),compressor labor cost ($/yr),compressor levelized capital cost ($/kg H2),compressor levelized capital cost ($/yr),"compressor operation, maintenance, repair costs ($/kg H2)","compressor operation, maintenance, repair costs ($/yr)",compressor other O&M costs ($/kg H2),compressor other O&M costs ($/yr),liquid storage labor cost ($/kg H2),liquid storage labor cost ($/yr),liquid storage levelized capital cost ($/kg H2),liquid storage levelized capital cost ($/yr),"liquid storage operation, maintenance, repair costs ($/kg H2)","liquid storage operation, maintenance, repair costs ($/yr)",liquid storage other O&M costs ($/kg H2),liquid storage other O&M costs ($/yr),reactor installed cost ($/station),reactor labor cost ($/kg H2),reactor labor cost ($/yr),reactor levelized capital cost ($/kg H2),reactor levelized capital cost ($/yr),"reactor operation, maintenance, repair costs ($/kg H2)","reactor operation, maintenance, repair costs ($/yr)",reactor other O&M costs ($/kg H2),reactor other O&M costs ($/yr),reactor pump electricity cost ($/kg H2),reactor pump electricity cost ($/yr),reactor pump labor cost ($/kg H2),reactor pump labor cost ($/yr),reactor pump levelized capital cost ($/kg H2),reactor pump levelized capital cost ($/yr),"reactor pump operation, maintenance, repair costs ($/kg H2)","reactor pump operation, maintenance, repair costs ($/yr)",reactor pump other O&M costs ($/kg H2),reactor pump other O&M costs ($/yr),refrigerator electricity cost ($/kg H2),refrigerator electricity cost ($/yr),refrigerator labor cost ($/kg H2),refrigerator labor cost ($/yr),refrigerator levelized capital cost ($/kg H2),refrigerator levelized capital cost ($/yr),"refrigerator operation, maintenance, repair costs ($/kg H2)","refrigerator operation, maintenance, repair costs ($/yr)",refrigerator other O&M costs ($/kg H2),refrigerator other O&M costs ($/yr)
baseline,0,300.0,1.0,0.0731028611028611,9.64671203342243,1.0195904046287483,3721504.9768949314,0.06300135577304773,229954.9485716242,1.238423773633985,4520246.773764045,0.07448076004281232,271854.77415626496,0.1923838031905842,702200.8816456323,0.001384026556428445,5051.696930963824,0.003398486732709998,12404.476574391492,0.07115215308095452,259705.35874548397,0.008035442150149452,29329.3638480455,0.010377773536918017,37878.87340975076,9.64671203342243,0.0731028611028611,0.01950051910664352,71176.89473924885,0.3294123932501356,1202355.235362995,0.023053686170251306,84145.95452141727,0.059547671377759126,217349.0005288208,0.0007824566574576873,2855.966799720559,0.1318924985834886,481407.61982973333,0.0023893452092645343,8721.110013815549,33763.49211697851,0.425335946504673,1552476.2047420563,0.06280973506526875,229255.53298823096,1.627792332165766,5941442.012405045,0.29701689738875214,1084111.6754689454,0.19179866148878674,700065.1144340716,0.0010895874129065529,3976.994057108918,0.018405848345775144,67181.34646207928,0.001288119876954765,4701.637550884892,0.0033272136421741583,12144.329793935678,60910.39709468507,0.0014115763129596791,5152.2535423028285,0.02774749277722259,101278.34863686246,0.0016687780025941114,6091.039709468507,0.004310453580700591,15733.155569557155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05984979703474284,218451.75917681135,0.00419670825197521,15317.985119709516,0.0878640558183182,320703.80373686145,0.009922771230862196,36218.11499264702,0.012815259044658524,46775.695513003615
Pd 4nm,1,300.0,1.0,0.0731028611028611,9.646712033422434,1.0195904046287483,3721504.9768949314,0.06300135577304773,229954.9485716242,1.238423773633985,4520246.773764045,0.07448076004281232,271854.77415626496,0.1923838031905842,702200.8816456323,0.001384026556428445,5051.696930963824,0.003398486732709998,12404.476574391492,0.07115215308095452,259705.35874548397,0.008035442150149452,29329.3638480455,0.010377773536918017,37878.87340975076,9.646712033422434,0.0731028611028611,0.01950051910664352,71176.89473924885,0.3294123932501356,1202355.235362995,0.023053686170251306,84145.95452141727,0.059547671377759126,217349.0005288208,0.0007824566574576875,2855.9667997205593,0.13189249858348862,481407.61982973345,0.0023893452092645343,8721.11001381555,33763.492116978516,0.425335946504673,1552476.2047420563,0.06280973506526875,229255.53298823096,1.627792332165766,5941442.012405045,0.29701689738875214,1084111.6754689454,0.19179866148878674,700065.1144340716,0.0010895874129065529,3976.994057108918,0.018405848345775144,67181.34646207928,0.001288119876954765,4701.637550884892,0.0033272136421741583,12144.329793935678,60910.39709468507,0.0014115763129596791,5152.2535423028285,0.02774749277722259,101278.34863686246,0.0016687780025941114,6091.039709468507,0.004310453580700591,15733.155569557155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05984979703474284,218451.75917681135,0.00419670825197521,15317.985119709516,0.0878640558183182,320703.80373686145,0.009922771230862196,36218.11499264702,0.012815259044658524,46775.695513003615
Pd 4nm,2,310.5263157894737,1.0,0.0306770616770616,4.048169600554391,1.0195904046287483,3721504.9768949314,0.06318505864041583,230625.4640375178,1.238423773633985,4520246.773764045,0.07448076004281232,271854.77415626496,0.19238380319058423,702200.8816456324,0.009258999850473567,33795.34945422852,0.0034083962298922534,12440.646239106725,0.0711521530809545,259705.3587454839,0.008035442150149452,29329.3638480455,0.010377773536918017,37878.87340975076,4.048169600554391,0.0306770616770616,0.019557379807990355,71384.4362991648,0.3294123932501356,1202355.235362995,0.023053686170251306,84145.95452141727,0.05954767137775913,217349.00052882082,0.0003293094338215402,1201.9794334486216,0.05534768752886863,202019.0594803705,0.001002670610241424,3659.747727381198,14168.593601940369,0.425335946504673,1552476.2047420563,0.06299287919428856,229924.0090591532,1.627792332165766,5941442.012405045,0.29701689738875214,1084111.6754689454,0.19179866148878674,700065.1144340716,0.0010927644926621088,3988.590398216697,0.018405848345775144,67181.34646207928,0.001288119876954765,4701.637550884892,0.0033272136421741588,12144.329793935678,60910.39709468507,0.0014156922659104966,5167.276770573313,0.027747492777222587,101278.34863686244,0.0016687780025941114,6091.039709468507,0.004310453580700591,15733.155569557155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05984979703474284,218451.75917681135,0.004208945247988001,15362.650155156203,0.0878640558183182,320703.80373686145,0.009922771230862196,36218.11499264702,0.012815259044658526,46775.695513003615
Pd 4nm,3,321.0526315789474,1.0,0.0136387486387486,1.7997801813681762,1.0195904046287483,3721504.9768949314,0.0632591360615426,230895.84662463045,1.238423773633985,4520246.773764045,0.07448076004281232,271854.77415626496,0.1923838031905842,702200.8816456323,0.017133973144518685,62539.0019774932,0.0034123921936267416,12455.231506737606,0.07115215308095452,259705.35874548397,0.008035442150149452,29329.3638480455,0.010377773536918017,37878.87340975076,1.7997801813681762,0.0136387486387486,0.019580308650526013,71468.12657441993,0.32941239325013555,1202355.2353629947,0.023053686170251306,84145.95452141727,0.05954767137775912,217349.0005288208,0.0001465796909566421,535.0158719917437,0.024607089358453356,89815.87615835475,0.0004457784309495616,1627.0912729658999,6299.230634788617,0.425335946504673,1552476.2047420563,0.06306673130648835,230193.56926868245,1.6277923321657661,5941442.012405046,0.29701689738875214,1084111.6754689454,0.19179866148878674,700065.1144340716,0.001094045636927179,3993.2665747842034,0.018405848345775144,67181.34646207928,0.001288119876954765,4701.637550884892,0.0033272136421741583,12144.329793935678,60910.39709468507,0.0014173520069066167,5173.334825209151,0.027747492777222587,101278.34863686244,0.0016687780025941114,6091.039709468507,0.00431045358070059,15733.155569557153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05984979703474284,218451.75917681135,0.004213879765995005,15380.661145881766,0.08786405581831822,320703.8037368615,0.009922771230862196,36218.11499264702,0.012815259044658526,46775.69551300362
Pd 4nm,4,331.578947368421,1.0,0.00637946737946737,0.8418396189684176,1.0195904046287483,3721504.9768949314,0.06329075000952195,231011.23753475508,1.238423773633985,4520246.773764045,0.07448076004281232,271854.77415626496,0.1923838031905842,702200.8816456324,0.025008946438563724,91282.65450075759,0.0034140975471299803,12461.456047024429,0.0711521530809545,259705.3587454839,0.008035442150149452,29329.3638480455,0.010377773536918015,37878.87340975076,0.8418396189684176,0.00637946737946737,0.01959009397004879,71503.84299067808,0.32941239325013555,1202355.2353629947,0.023053686170251306,84145.95452141727,0.05954767137775912,217349.0005288208,6.85962987523819e-05,250.37649044619394,0.011509862673170817,42010.99875707348,0.00020851098836394464,761.0651075283979,2946.4386663894616,0.425335946504673,1552476.2047420563,0.06309824909959906,230308.60921353658,1.6277923321657661,5941442.012405046,0.29701689738875214,1084111.6754689454,0.19179866148878674,700065.1144340716,0.0010945923896020686,3995.26222204755,0.018405848345775144,67181.34646207928,0.001288119876954765,4701.637550884892,0.0033272136421741583,12144.329793935678,60910.39709468507,0.0014180603329351476,5175.920215213288,0.02774749277722259,101278.34863686246,0.0016687780025941114,6091.039709468507,0.004310453580700591,15733.155569557155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05984979703474284,218451.75917681135,0.004215985665379779,15388.347678636193,0.0878640558183182,320703.80373686145,0.009922771230862196,36218.11499264702,0.012815259044658524,46775.695513003615
Pd 4nm,5,342.1052631578947,1.0,0.00312978912978913,0.4130094773982774,1.0195904046287483,3721504.9768949314,0.0633049125000054,231062.9306250197,1.238423773633985,4520246.773764045,0.07448076004281232,271854.77415626496,0.1923838031905842,702200.8816456323,0.032883919732608846,120026.30702402229,0.0034148615153877997,12464.244531165468,0.0711521530809545,259705.3587454839,0.008035442150149452,29329.3638480455,0.010377773536918015,37878.873409750755,0.4130094773982774,0.00312978912978913,0.019594477620414434,71519.84331451268,0.32941239325013555,1202355.2353629947,0.023053686170251306,84145.95452141727,0.05954767137775912,217349.0005288208,3.3661116006996315e-05,122.86307342553656,0.005646779101935517,20610.743722064635,0.00010229622412107196,373.3812180419127,1445.533170893971,0.425335946504673,1552476.2047420563,0.0631123685143992,230360.14507755707,1.627792332165766,5941442.012405045,0.29701689738875214,1084111.6754689454,0.19179866148878671,700065.1144340715,0.0010948373251463413,3996.156236784145,0.01840584834577514,67181.34646207927,0.001288119876954765,4701.637550884892,0.003327213642174158,12144.329793935676,60910.39709468507,0.0014183776504889316,5177.078424284599,0.027747492777222587,101278.34863686244,0.0016687780025941114,6091.039709468507,0.00431045358070059,15733.155569557153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05984979703474284,218451.75917681135,0.004216929071120039,15391.791109588143,0.0878640558183182,320703.80373686145,0.009922771230862196,36218.11499264702,0.012815259044658524,46775.695513003615
Pd 4nm,6,352.6315789473684,1.0,0.0015999405999406,0.21112944152064153,1.0195904046287483,3721504.9768949314,0.06331158195926515,231087.27415131778,1.238423773633985,4520246.773764045,0.07448076004281232,271854.77415626496,0.19238380319058423,702200.8816456324,0.04075889302665397,148769.95954728697,0.0034152212865154272,12465.55769578131,0.07115215308095449,259705.35874548389,0.008035442150149452,29329.3638480455,0.010377773536918015,37878.873409750755,0.21112944152064153,0.0015999405999406,0.019596541987381297,71527.37825394173,0.32941239325013555,1202355.2353629947,0.023053686170251306,84145.95452141727,0.05954767137775912,217349.0005288208,1.7209293615743458e-05,62.81392169746362,0.002886619759169352,10536.162120968134,5.229358126211944e-05,190.87157160673596,738.9530453222453,0.425335946504673,1552476.2047420563,0.06311901768827796,230384.41456221454,1.627792332165766,5941442.012405045,0.29701689738875214,1084111.6754689454,0.19179866148878671,700065.1144340716,0.0010949526712174082,3996.5772499435393,0.018405848345775144,67181.34646207928,0.001288119876954765,4701.637550884892,0.0033272136421741583,12144.329793935678,60910.39709468507,0.001418527082998689,5177.623852945215,0.027747492777222587,101278.34863686244,0.0016687780025941114,6091.039709468507,0.004310453580700591,15733.155569557155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05984979703474284,218451.75917681135,0.00421737334369748,15393.412704495802,0.0878640558183182,320703.80373686145,0.009922771230862196,36218.11499264702,0.012815259044658526,46775.69551300362
Pd 4nm,7,363.1578947368421,1.0,0.00084999324999325,0.11216578926370925,1.0195904046287483,3721504.9768949314,0.06331485190953541,231099.20946980425,1.238423773633985,4520246.773764045,0.07448076004281232,271854.77415626496,0.19238380319058423,702200.8816456324,0.04863386632069909,177513.61207055167,0.0034153976776815187,12466.201523537544,0.0711521530809545,259705.3587454839,0.008035442150149452,29329.3638480455,0.010377773536918017,37878.87340975076,0.11216578926370925,0.00084999324999325,0.019597554120008298,71531.07253803028,0.32941239325013555,1202355.2353629947,0.023053686170251306,84145.95452141727,0.05954767137775912,217349.0005288208,9.143176262054569e-06,33.37259335649917,0.0015335615026471502,5597.499484662098,2.778177583119352e-05,101.40348178385635,392.5802624229824,0.425335946504673,1552476.2047420563,0.06312227769288631,230396.31357903502,1.627792332165766,5941442.012405045,0.29701689738875214,1084111.6754689454,0.19179866148878674,700065.1144340716,0.0010950092239155461,3996.7836672917433,0.018405848345775144,67181.34646207928,0.001288119876954765,4701.637550884892,0.0033272136421741588,12144.32979393568,60910.39709468507,0.0014186003478402062,5177.891269616753,0.02774749277722259,101278.34863686246,0.0016687780025941114,6091.039709468507,0.004310453580700591,15733.155569557157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05984979703474284,218451.75917681135,0.00421759116483981,15394.207751665304,0.0878640558183182,320703.80373686145,0.009922771230862196,36218.11499264702,0.012815259044658526,46775.695513003615
Pd 4nm,8,373.6842105263158,1.0,0.00046999666999667,0.062021136570096565,1.0195904046287483,3721504.9768949314,0.06331650891468021,231105.2575385828,1.238423773633985,4520246.773764045,0.07448076004281232,271854.77415626496,0.19238380319058423,702200.8816456324,0.05650883961474421,206257.26459381636,0.0034154870616309838,12466.52777495309,0.0711521530809545,259705.3587454839,0.008035442150149452,29329.3638480455,0.010377773536918017,37878.87340975076,0.062021136570096565,0.00046999666999667,0.019598067005169095,71532.9445688672,0.3294123932501356,1202355.235362995,0.023053686170251306,84145.95452141727,0.05954767137775913,217349.00052882082,5.0557752776438305e-06,18.453579763399983,0.0008479700273913632,3095.090599978476,1.5361700963341317e-05,56.0702085161958,217.07397799533797,0.425335946504673,1552476.2047420563,0.06312392965819516,230402.3432524123,1.6277923321657661,5941442.012405046,0.29701689738875214,1084111.6754689454,0.19179866148878677,700065.1144340717,0.0010950378812662768,3996.8882666219106,0.018405848345775144,67181.34646207928,0.001288119876954765,4701.637550884892,0.0033272136421741588,12144.32979393568,60910.39709468507,0.0014186374738541492,5178.026779567644,0.02774749277722259,101278.34863686246,0.0016687780025941114,6091.039709468507,0.004310453580700591,15733.155569557155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05984979703474284,218451.75917681135,0.004217701542895638,15394.610631569078,0.08786405581831822,320703.8037368615,0.009922771230862196,36218.11499264702,0.012815259044658526,46775.69551300362
Pd 4nm,9,384.2105263157895,1.0,0.00026999846999847,0.035629214099774105,1.0195904046287483,3721504.9768949314,0.06331738105748802,231108.44085983123,1.238423773633985,4520246.773764045,0.07448076004281232,271854.77415626496,0.19238380319058423,702200.8816456324,0.06438381290878933,235000.91711708106,0.0034155341076941197,12466.699493083537,0.07115215308095452,259705.35874548397,0.008035442150149452,29329.3638480455,0.010377773536918017,37878.87340975076,0.035629214099774105,0.00026999846999847,0.0195983369555103,71533.9298876126,0.3294123932501356,1202355.235362995,0.023053686170251306,84145.95452141727,0.05954767137775913,217349.00052882082,2.9044256681809004e-06,10.601153688860286,0.000487132408835686,1778.033292250254,8.82481945394542e-06,32.210591006900785,124.70224934920937,0.425335946504673,1552476.2047420563,0.06312479914835174,230405.51689148386,1.6277923321657661,5941442.012405046,0.29701689738875214,1084111.6754689454,0.19179866148878674,700065.1144340716,0.0010950529646849426,3996.94332110004,0.018405848345775144,67181.34646207928,0.001288119876954765,4701.637550884892,0.0033272136421741588,12144.329793935678,60910.39709468507,0.0014186570146420242,5178.098103443388,0.02774749277722259,101278.34863686246,0.0016687780025941114,6091.039709468507,0.004310453580700591,15733.155569557155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05984979703474284,218451.75917681135,0.0042177596389298185,15394.822682093836,0.08786405581831822,320703.8037368615,0.009922771230862196,36218.11499264702,0.012815259044658528,46775.69551300362
Pd 4nm,10,300.0,21.84210526315789,0.076013986013986,10.030866405594402,0.0,0.0,0.06131545052419828,223801.39441332372,1.238423773633985,4520246.773764045,0.07448076004281232,271854.77415626496,0.1923838031905842,702200.8816456323,0.001384026556428445,5051.696930963824,0.003307543822823095,12072.534953304295,0.07115215308095449,259705.35874548389,0.008035442150149452,29329.3638480455,0.010377773536918015,37878.873409750755,10.030866405594402,0.076013986013986,0.01897868862992156,69272.21349921369,0.32941239325013555,1202355.2353629947,0.023053686170251306,84145.95452141727,0.05954767137775912,217349.0005288208,0.0007918436714991651,2890.229400971952,0.13714476275515547,500578.3840563175,0.0024844944586240054,9068.40477397762,35108.032419580406,0.4147647702976845,1513891.4115865484,0.060207045872929105,219755.71743619125,1.6032429070841656,5851836.6108572045,0.29253745985465773,1067761.7284695008,0.1889060647011452,689507.1361591801,0.0010604302445256573,3870.5703925186494,0.01840584834577514,67181.34646207927,0.001288119876954765,4701.637550884892,0.0033272136421741583,12144.329793935678,146184.95302724416,0.0032971266671859094,12034.512335228568,0.0665939826653342,243068.03672846983,0.004005067206225867,14618.495302724416,0.010345088593681415,37759.57336693717,0.0024673785429765605,9005.931681864446,0.0031478908058837217,11489.801441475583,0.08382463437020654,305959.9154512539,0.0038237882580911876,13956.827142032835,0.009876845070649539,36050.48450787082,0.05984979703474284,218451.75917681135,0.004084405074002624,14908.078520109577,0.0878640558183182,320703.80373686145,0.009922771230862196,36218.11499264702,0.012815259044658524,46775.695513003615
Pd 4nm,11,310.5263157894737,21.84210526315789,0.031048951048951,4.097244419580413,0.0,0.0,0.06149988443324174,224474.57818133236,1.238423773633985,4520246.773764045,0.07448076004281232,271854.77415626496,0.19238380319058423,702200.8816456324,0.009258999850473567,33795.34945422852,0.0033174927546398003,12108.84855443527,0.0711521530809545,259705.3587454839,0.008035442150149452,29329.3638480455,0.010377773536918017,37878.87340975076,4.097244419580413,0.031048951048951,0.01903577560722679,69480.58096637779,0.32941239325013555,1202355.2353629947,0.023053686170251306,84145.95452141727,0.05954767137775912,217349.0005288208,0.0003244122553239942,1184.1047319325787,0.05601865194414807,204468.07959614045,0.001014825703430595,3704.113817521672,14340.355468531445,0.4147647702976845,1513891.4115865484,0.0603881457544006,220416.73200356218,1.6032429070841658,5851836.610857205,0.29253745985465773,1067761.7284695008,0.18890606470114524,689507.1361591801,0.001063619967402905,3882.212881020603,0.018405848345775144,67181.34646207928,0.001288119876954765,4701.637550884892,0.0033272136421741583,12144.329793935678,146184.95302724416,0.0033070442647023875,12070.711566163714,0.06659398266533421,243068.03672846986,0.004005067206225867,14618.495302724416,0.010345088593681417,37759.57336693717,0.0024673785429765605,9005.931681864446,0.003157359509148684,11524.362208392697,0.08382463437020654,305959.9154512539,0.0038237882580911876,13956.827142032835,0.009876845070649539,36050.48450787082,0.05984979703474284,218451.75917681135,0.004096690766882234,14952.921299120155,0.0878640558183182,320703.80373686145,0.009922771230862196,36218.11499264702,0.012815259044658526,46775.69551300362
